8.663189077570535801e+01 4.775519654045309892e+01 2.061864937308705947e+01 8.487311838664043151e+00 4.218937657902860572e+00 1.743506263759570407e+00 7.421365837804674292e-01 3.329657065377342740e-01 1.418325418554788331e-01 7.627424243705063778e-02 5.904238851144279210e-02 5.719652960532860264e-02
4.775519654045309892e+01 3.296875588985395211e+01 1.282196762497552456e+01 5.339365814393024046e+00 2.646183747129399855e+00 1.119439105401373036e+00 4.905563842794664065e-01 1.993420540064667346e-01 8.916487515790719187e-02 4.725753821756566164e-02 3.708190410779295398e-02 5.879345316275347982e-02
2.061864937308705947e+01 1.282196762497552633e+01 6.892311863108283809e+00 2.333829710733480223e+00 1.110727840048878257e+00 4.989147257756860188e-01 2.127045535066790782e-01 1.005747561175511229e-01 2.974310778829335894e-02 1.439965480059869282e-02 1.746164730542206292e-02 3.277510563723404213e-02
8.487311838664041375e+00 5.339365814393024046e+00 2.333829710733480223e+00 1.459867774652914729e+00 5.289799053654790084e-01 2.071150510738214989e-01 9.997147253857888161e-02 4.259485135881098394e-02 2.492969344827169337e-02 9.617945562857319053e-03 5.870515458926306440e-03 1.837473360103087858e-02
4.218937657902859684e+00 2.646183747129399855e+00 1.110727840048878035e+00 5.289799053654790084e-01 3.864601976351907942e-01 1.097659167018130710e-01 5.803196636240351425e-02 1.863627260854509166e-02 1.324060060329046960e-02 9.045299577533536320e-03 6.222320702492309917e-03 9.915372478393550890e-03
1.743506263759570629e+00 1.119439105401373036e+00 4.989147257756859632e-01 2.071150510738214712e-01 1.097659167018130988e-01 1.134173100821526531e-01 3.417645384861275892e-02 1.613828941767711175e-02 7.832888158259686262e-03 3.293071987996607983e-03 2.860879769188154342e-03 3.894082954719432950e-03
7.421365837804673182e-01 4.905563842794662954e-01 2.127045535066790505e-01 9.997147253857888161e-02 5.803196636240351425e-02 3.417645384861275892e-02 4.441376162055131471e-02 1.272350784078757520e-02 2.946045229253275652e-03 2.655554114365404374e-03 2.572164674116151403e-03 3.137288528863655356e-03
3.329657065377342184e-01 1.993420540064667068e-01 1.005747561175511229e-01 4.259485135881098394e-02 1.863627260854509166e-02 1.613828941767711175e-02 1.272350784078757520e-02 2.138726438017653567e-02 6.431939817879143116e-03 2.537795772499637417e-03 2.351098662439653675e-04 1.064863448550989848e-03
1.418325418554788331e-01 8.916487515790719187e-02 2.974310778829335894e-02 2.492969344827169337e-02 1.324060060329046960e-02 7.832888158259684527e-03 2.946045229253275652e-03 6.431939817879143116e-03 1.053449803358861431e-02 4.288249515123304309e-03 1.204765691445611924e-03 1.613819813924676633e-03
7.627424243705063778e-02 4.725753821756566164e-02 1.439965480059869282e-02 9.617945562857319053e-03 9.045299577533536320e-03 3.293071987996607983e-03 2.655554114365404374e-03 2.537795772499637417e-03 4.288249515123304309e-03 8.756497120804089193e-03 4.996123700382271160e-03 3.171116445891252172e-03
5.904238851144279210e-02 3.708190410779295398e-02 1.746164730542206292e-02 5.870515458926305573e-03 6.222320702492309917e-03 2.860879769188154342e-03 2.572164674116151403e-03 2.351098662439653675e-04 1.204765691445611924e-03 4.996123700382271160e-03 5.413935948671252593e-03 4.012537627470227734e-03
5.719652960532860264e-02 5.879345316275347288e-02 3.277510563723404213e-02 1.837473360103087858e-02 9.915372478393550890e-03 3.894082954719432950e-03 3.137288528863655356e-03 1.064863448550989848e-03 1.613819813924676633e-03 3.171116445891252172e-03 4.012537627470227734e-03 7.550125755008879613e-03
