1.934324566091360498e-01 4.435382179122514401e+01 8.071271068403547133e+00
3.213600611539836338e-01 2.430560586074573948e+01 4.101994193309968395e+00
5.335320089381245801e-01 1.322830064128327265e+01 1.851781234356360883e+00
8.858899675599197776e-01 6.551936047756084847e+00 9.403030340810112353e-01
1.470952309828655213e+00 4.528357861600630585e+00 5.838169947189405518e-01
2.441659096081079561e+00 2.191619599762306247e+00 2.915644363854290044e-01
4.052529752495005688e+00 1.139835225765407190e+00 1.788498858733633123e-01
6.726720103357044067e+00 5.697513035063946907e-01 1.203669363268714820e-01
1.116469407889813326e+01 3.776374017536784367e-01 8.780700436591959424e-02
1.852785150709397044e+01 2.861702311041398605e-01 7.665082122059650727e-02
3.073468296367745722e+01 2.432624688656404854e-01 6.687680031926883373e-02
5.096980897058518423e+01 1.825642632819412525e-01 4.685663220655747474e-02
