6.649599999999999955e-02 9.867409314291958822e+01 8.788682982378203334e+00
1.103699999999999959e-01 7.392604887547896908e+01 4.779926467573710092e+00
1.832000000000000017e-01 4.473468508965798662e+01 3.114608791553220790e+00
3.040900000000000269e-01 3.260187603039888415e+01 1.733520738889551049e+00
5.047399999999999665e-01 1.986431232353653087e+01 1.143609362029504917e+00
8.377999999999999892e-01 1.288112327435692883e+01 6.925321975857161583e-01
1.390600000000000058e+00 7.879015005253530823e+00 3.895389530708634473e-01
2.308199999999999807e+00 4.080244050310110282e+00 2.669693279403322905e-01
3.831300000000000150e+00 2.106756134731979646e+00 1.878932779238886575e-01
6.359399999999999942e+00 1.429059212966008019e+00 1.398146417831442612e-01
1.055599999999999916e+01 8.997054607984940056e-01 1.034848637362255491e-01
1.752100000000000080e+01 5.793239685605913181e-01 9.402658153741655367e-02
2.908200000000000074e+01 4.646259676486628742e-01 7.480263518814042611e-02
4.827100000000000080e+01 4.057778069214236227e-01 8.607358688817354220e-02
8.012300000000000466e+01 2.682379559534135427e-01 7.542716617608838381e-02
